sku,name,price,short_description
PP-BOYSBLUEPOLO-S,"Par Plus Boys Blue Junior Golf Polo Shirt - 06/08 - Small",30.0000,"Available in several colors, this bright colored, moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable.  Let your junior golfer dress like the guys in the PGA, without the pros budget for golf clothes!   This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSBLUEPOLO-M,"Par Plus Boys Blue Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"Available in several colors, this bright colored, moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable.  Let your junior golfer dress like the guys in the PGA, without the pros budget for golf clothes!   This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSBLUEPOLO-L,"Par Plus Boys Blue Junior Golf Polo Shirt - 14/16 - Large",30.0000,"Available in several colors, this bright colored, moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable.  Let your junior golfer dress like the guys in the PGA, without the pros budget for golf clothes!   This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSBLUEPOLO-XL,"Par Plus Boys Blue Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"Available in several colors, this bright colored, moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable.  Let your junior golfer dress like the guys in the PGA, without the pros budget for golf clothes!   This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSBLUEPOLO,"Par Plus Boys Blue Junior Golf Polo Shirt",30.0000,"This bright colored, moisture wicking fabric moves moisture away from your skin leaving you dry and comfortable.  Let your junior golfer dress like the guys in the PGA, without the pros budget for golf clothes!   This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSORANGEPOLO-S,"Par Plus Boys Orange Junior Golf Polo Shirt - 06/08 - Small",30.0000,"Youthful and sophisicated, Ricky Fowler would be proud to wear this golf shirt around the course.  Great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSORANGEPOLO-M,"Par Plus Boys Orange Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"Youthful and sophisicated, Ricky Fowler would be proud to wear this golf shirt around the course.  Great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSORANGEPOLO-L,"Par Plus Boys Orange Junior Golf Polo Shirt - 14/16 - Large",30.0000,"Youthful and sophisicated, Ricky Fowler would be proud to wear this golf shirt around the course.  Great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSORANGEPOLO-XL,"Par Plus Boys Orange Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"Youthful and sophisicated, Ricky Fowler would be proud to wear this golf shirt around the course.  Great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSORANGEPOLO,"Par Plus Boys Orange Junior Golf Polo Shirt",30.0000,"Youthful and sophisticated, Ricky Fowler would be proud to wear this golf shirt around the course.  Great for the junior golfer who wants all the popular colors, but doesn't want to pay the outrageous prices from the other big brands!  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSPURPLEPOLO-S,"Par Plus Boys Purple Junior Golf Polo Shirt - 06/08 - Small",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSPURPLEPOLO-M,"Par Plus Boys Purple Junior Golf Polo Shirt - 10/12 - Medium",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSPURPLEPOLO-L,"Par Plus Boys Purple Junior Golf Polo Shirt - 14/16 - Large",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
PP-BOYSPURPLEPOLO-XL,"Par Plus Boys Purple Junior Golf Polo Shirt - 18/20 - X-Large",30.0000,"A solid, stylish color for the junior golfer who wants to wear a great looking golf shirt.  This golf shirt has a stylish logo, 4 button front, and is 100% polyester."
